time_range, announc_as_counter, announc_as_counter_ip, num_path_dict_before, num_as_pairs, source_as_counter, timestamp
23:55:00-23:55:04,0,0,0,0,4,49
23:55:05-23:55:09,0,0,0,0,11,49
23:55:10-23:55:14,0,0,3,0,14,49
23:55:15-23:55:19,0,0,0,0,15,49
23:55:20-23:55:24,0,0,0,0,3,49
23:55:25-23:55:29,0,0,0,0,3,49
23:55:30-23:55:34,0,0,5,0,10,49
23:55:35-23:55:39,0,0,11,0,15,49
23:55:40-23:55:44,0,0,1,0,4,49
23:55:45-23:55:49,0,0,0,0,7,49
23:55:50-23:55:54,0,0,0,0,5,49
23:55:55-23:55:59,0,0,6,0,19,49
23:56:00-23:56:04,0,0,0,0,10,49
23:56:05-23:56:09,0,0,0,0,6,49
23:56:10-23:56:14,0,0,0,0,9,49
23:56:15-23:56:19,0,0,2,0,10,49
23:56:20-23:56:24,0,0,10,0,27,49
23:56:25-23:56:29,0,0,6,0,27,49
23:56:30-23:56:34,0,0,0,0,8,49
23:56:35-23:56:39,0,0,0,0,8,49
23:56:40-23:56:44,0,0,0,0,12,49
23:56:45-23:56:49,0,0,0,0,32,49
23:56:50-23:56:54,0,0,0,0,17,49
23:56:55-23:56:59,0,0,1,0,14,49
23:57:00-23:57:04,0,0,1,0,5,49
23:57:05-23:57:09,0,0,7,0,9,49
23:57:10-23:57:14,0,0,1,0,13,49
23:57:15-23:57:19,0,0,2,0,6,49
23:57:20-23:57:24,0,0,0,0,2,49
23:57:25-23:57:29,0,0,1,0,6,49
23:57:30-23:57:34,0,0,7,0,24,49
23:57:35-23:57:39,0,0,0,0,0,49
23:57:40-23:57:44,0,0,0,0,10,49
23:57:45-23:57:49,0,0,2,0,14,49
23:57:50-23:57:54,0,0,11,0,20,49
23:57:55-23:57:59,0,0,0,0,5,49
23:58:00-23:58:04,0,0,72,0,91,49
23:58:05-23:58:09,0,0,1,0,19,49
23:58:10-23:58:14,0,0,0,0,17,49
23:58:15-23:58:19,0,0,0,0,13,49
23:58:20-23:58:24,0,0,0,0,4,49
23:58:25-23:58:29,0,0,0,0,11,49
23:58:30-23:58:34,0,0,0,0,2,49
23:58:35-23:58:39,0,0,0,0,15,49
23:58:40-23:58:44,0,0,1,0,3,49
23:58:45-23:58:49,0,0,1,0,9,49
23:58:50-23:58:54,0,0,0,0,5,49
23:58:55-23:58:59,0,0,5,0,15,49
23:59:00-23:59:04,0,0,5,0,30,49
23:59:05-23:59:09,0,0,2,0,8,49
23:59:10-23:59:14,0,0,0,0,21,49
23:59:15-23:59:19,0,0,1,0,7,49
23:59:20-23:59:24,0,0,1,0,18,49
23:59:25-23:59:29,0,0,6,0,14,49
23:59:30-23:59:34,0,0,2,0,12,49
23:59:35-23:59:39,0,0,2,0,2,49
23:59:40-23:59:44,0,0,1,0,18,49
23:59:45-23:59:49,0,0,1,0,9,49
23:59:50-23:59:54,0,0,0,0,11,49
23:59:55-23:59:59,0,0,1,0,34,49
23:55:00-23:55:04,0,0,0,0,0,2
23:55:05-23:55:09,0,0,0,0,0,2
23:55:10-23:55:14,0,0,0,0,18,2
23:55:15-23:55:19,0,0,0,0,0,2
23:55:20-23:55:24,0,0,0,0,0,2
23:55:25-23:55:29,0,0,0,0,6,2
23:55:30-23:55:34,0,0,0,0,0,2
23:55:35-23:55:39,0,0,0,0,0,2
23:55:40-23:55:44,0,0,0,0,0,2
23:55:45-23:55:49,0,0,0,0,14,2
23:55:50-23:55:54,0,0,0,0,0,2
23:55:55-23:55:59,0,0,0,0,16,2
23:56:00-23:56:04,0,0,0,0,0,2
23:56:05-23:56:09,0,0,0,0,0,2
23:56:10-23:56:14,0,0,0,0,0,2
23:56:15-23:56:19,0,0,0,0,18,2
23:56:20-23:56:24,0,0,0,0,0,2
23:56:25-23:56:29,0,0,0,0,26,2
23:56:30-23:56:34,0,0,0,0,0,2
23:56:35-23:56:39,0,0,0,0,0,2
23:56:40-23:56:44,0,0,0,0,0,2
